industry,clusterID
accounting,16
airlines/aviation,9
alternative dispute resolution,2
alternative medicine,7
animation,4
apparel & fashion,4
architecture & planning,15
arts and crafts,4
automotive,19
aviation & aerospace,9
banking,16
biotechnology,0
broadcast media,13
building materials,15
business supplies and equipment,8
capital markets,11
chemicals,3
civic & social organization,10
civil engineering,15
commercial real estate,14
computer & network security,8
computer games,4
computer hardware,8
computer networking,8
computer software,8
construction,15
consumer electronics,8
consumer goods,4
consumer services,15
cosmetics,5
dairy,6
defense & space,3
design,13
e-learning,13
education management,10
electrical/electronic manufacturing,3
entertainment,4
environmental services,15
events services,4
executive office,13
facilities services,15
farming,15
financial services,11
fine art,4
fishery,16
food & beverages,18
food production,18
fund-raising,0
furniture,12
gambling & casinos,1
"glass, ceramics & concrete",9
government administration,14
government relations,10
graphic design,12
"health, wellness and fitness",0
higher education,5
hospital & health care,7
hospitality,14
human resources,17
import and export,4
individual & family services,10
industrial automation,3
information services,13
information technology and services,8
insurance,16
international affairs,10
international trade and development,13
internet,13
investment banking,11
investment management,11
judiciary,1
law enforcement,2
law practice,2
legal services,2
legislative office,6
"leisure, travel & tourism",9
libraries,16
logistics and supply chain,19
luxury goods & jewelry,5
machinery,3
management consulting,13
maritime,15
market research,17
marketing and advertising,13
mechanical or industrial engineering,3
media production,13
medical devices,7
medical practice,7
mental health care,1
military,10
mining & metals,3
motion pictures and film,12
museums and institutions,12
music,6
nanotechnology,15
newspapers,2
non-profit organization management,10
oil & energy,3
online media,13
outsourcing/offshoring,17
package/freight delivery,19
packaging and containers,3
paper & forest products,3
performing arts,4
pharmaceuticals,0
philanthropy,10
photography,12
plastics,3
political organization,10
primary/secondary education,5
printing,6
professional training & coaching,13
program development,10
public policy,10
public relations and communications,13
public safety,10
publishing,13
railroad manufacture,19
ranching,6
real estate,14
recreational facilities and services,10
religious institutions,5
renewables & environment,15
research,0
restaurants,18
retail,4
security and investigations,14
semiconductors,3
shipbuilding,9
sporting goods,4
sports,4
staffing and recruiting,17
supermarkets,18
telecommunications,8
textiles,4
think tanks,10
tobacco,1
translation and localization,1
transportation/trucking/railroad,19
utilities,15
venture capital & private equity,11
veterinary,7
warehousing,3
wholesale,3
wine and spirits,18
wireless,8
writing and editing,17
