id,clusterID
1500001,2
1500002,4
1500003,11
1500004,14
1500005,3
1500006,7
1500007,14
1500008,11
1500009,6
1500010,3
1500011,6
1500012,3
1500013,16
1500014,5
1500015,1
1500016,14
1500017,4
1500018,6
1500019,3
1500020,18
1500021,12
1500022,19
1500023,2
1500024,11
1500025,14
1500026,16
1500027,5
1500028,12
1500029,12
1500030,4
1500031,6
1500032,19
1500033,9
1500034,4
1500035,6
1500036,2
1500037,6
1500038,3
1500039,17
1500040,12
1500041,15
1500042,15
1500043,18
1500044,4
1500045,3
1500046,15
1500047,15
1500048,6
1500049,3
1500050,0
1500051,14
1500052,9
1500053,7
1500054,3
1500055,2
1500056,5
1500057,9
1500058,9
1500059,7
1500060,19
1500061,13
1500062,12
1500063,2
1500064,1
1500065,9
1500066,2
1500067,7
1500068,9
1500069,12
1500070,13
1500071,10
1500072,2
1500073,15
1500074,12
1500075,2
1500076,18
1500077,2
1500078,17
1500079,2
1500080,3
1500081,13
1500082,8
1500083,3
1500084,13
1500085,12
1500086,6
1500087,17
1500088,0
1500089,9
1500090,2
1500091,17
1500092,11
1500093,19
1500094,6
1500095,12
1500096,17
1500097,13
1500098,9
1500099,10
1500100,12
1500101,2
1500102,14
1500103,9
1500104,15
1500105,6
1500106,19
1500107,15
1500108,11
1500109,17
1500110,3
1500111,2
1500112,1
1500113,18
1500114,1
1500115,18
1500116,0
1500117,6
1500118,11
1500119,17
1500120,0
1500121,6
1500122,2
1500123,17
1500124,9
1500125,0
1500126,0
1500127,13
1500128,3
1500129,13
1500130,2
1500131,11
1500132,3
1500133,3
1500134,9
1500135,12
1500136,2
1500137,4
1500138,10
1500139,6
1500140,15
1500141,12
1500142,14
1500143,17
1500144,5
1500145,11
1500146,16
1500147,3
1500148,17
1500149,6
1500150,2
1500151,15
1500152,6
1500153,1
1500154,2
1500155,1
1500156,1
1500157,13
1500158,18
1500159,6
1500160,18
1500161,14
1500162,5
1500163,4
1500164,2
1500165,10
1500166,3
1500167,11
1500168,17
1500169,11
1500170,3
1500171,16
1500172,19
1500173,12
1500174,15
1500175,16
1500176,5
1500177,14
1500178,4
1500179,8
1500180,11
1500181,5
1500182,0
1500183,17
1500184,18
1500185,3
1500186,13
1500187,13
1500188,5
1500189,6
1500190,11
1500191,0
1500192,19
1500193,8
1500194,2
1500195,13
1500196,13
1500197,15
1500198,3
1500199,10
1500200,10
1500201,2
1500202,1
1500203,12
1500204,5
1500205,18
1500206,1
1500207,2
1500208,16
1500209,13
1500210,6
1500211,16
1500212,11
1500213,14
1500214,2
1500215,5
1500216,12
1500217,2
1500218,7
1500219,1
1500220,14
1500221,2
1500222,11
1500223,14
1500224,5
1500225,15
1500226,5
1500227,7
1500228,17
1500229,2
1500230,9
1500231,13
1500232,4
1500233,0
1500234,3
1500235,17
1500236,2
1500237,14
1500238,0
1500239,11
1500240,2
1500241,3
1500242,3
1500243,0
1500244,5
1500245,19
1500246,14
1500247,2
1500248,7
1500249,2
1500250,5
1500251,10
1500252,14
1500253,9
1500254,12
1500255,17
1500256,11
1500257,1
1500258,6
1500259,13
1500260,0
1500261,12
1500262,0
1500263,2
1500264,0
1500265,13
1500266,10
1500267,4
1500268,2
1500269,3
1500270,18
1500271,10
1500272,16
1500273,13
1500274,2
1500275,14
1500276,0
1500277,0
1500278,2
1500279,3
1500280,2
1500281,3
1500282,14
1500283,2
1500284,18
1500285,15
1500286,3
1500287,16
1500288,4
1500289,19
1500290,19
1500291,12
1500292,15
1500293,13
1500294,12
1500295,3
1500296,18
1500297,4
1500298,3
1500299,0
1500300,11
1500301,14
1500302,4
1500303,2
1500304,16
1500305,12
1500306,17
1500307,15
1500308,15
1500309,18
1500310,19
1500311,2
1500312,16
1500313,14
1500314,10
1500315,0
1500316,18
1500317,17
1500318,3
1500319,2
1500320,8
1500321,11
1500322,11
1500323,18
1500324,5
1500325,5
1500326,8
1500327,13
1500328,19
1500329,3
1500330,11
1500331,6
1500332,3
1500333,5
1500334,18
1500335,16
1500336,9
1500337,9
1500338,19
1500339,3
1500340,18
1500341,17
1500342,2
1500343,2
1500344,4
1500345,1
1500346,8
1500347,0
1500348,10
1500349,6
1500350,19
1500351,3
1500352,6
1500353,7
1500354,6
1500355,2
1500356,12
1500357,11
1500358,3
1500359,18
1500360,3
1500361,5
1500362,12
1500363,3
